,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,customer_percentage_by_state,total_charge,total_calls,total_minutes,day_charge_per_call,eve_charge_per_call,night_charge_per_call,intl_charge_per_call,day_call_length_per_call,eve_call_length_per_call,night_call_length_per_call,intl_call_length_per_call,day_charge_per_min,eve_charge_per_min,night_charge_per_min,intl_charge_per_min,day_charge_percentage,eve_charge_percentage,night_charge_percentage,intl_charge_percentage
39,NJ,149,408,0,0,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,0,0.05,58.0,303.0,612.0,0.254,0.251,0.078,0.333,1.494,2.954,1.744,1.233,0.17,0.085,0.045,0.27,0.412,0.398,0.146,0.052
40,GA,98,408,0,0,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0,0.06,47.0,324.0,490.0,0.21,0.167,0.063,1.27,1.238,1.962,1.391,4.7,0.17,0.085,0.045,0.27,0.457,0.302,0.18,0.054
41,MD,135,408,1,1,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1,0.034,56.0,285.0,514.0,0.346,0.162,0.071,0.263,2.036,1.906,1.567,0.973,0.17,0.085,0.045,0.27,0.526,0.309,0.098,0.07
42,AR,34,510,0,0,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,0,0.017,62.0,262.0,728.0,0.259,0.245,0.18,0.675,1.522,2.88,3.994,2.5,0.17,0.085,0.045,0.27,0.342,0.387,0.226,0.044
43,ID,160,415,0,0,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0,0.01,39.0,283.0,439.0,0.189,0.128,0.087,0.62,1.114,1.503,1.94,2.3,0.17,0.085,0.045,0.27,0.374,0.36,0.206,0.064
44,WI,64,510,0,0,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0,0.033,58.0,274.0,649.0,0.391,0.163,0.139,0.317,2.299,1.914,3.085,1.167,0.17,0.085,0.045,0.271,0.451,0.331,0.206,0.016
45,OR,59,408,0,1,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0,0.024,48.0,310.0,506.0,0.212,0.197,0.063,0.46,1.246,2.315,1.406,1.7,0.17,0.085,0.045,0.271,0.428,0.377,0.153,0.048
46,MI,65,415,0,0,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,0,0.056,59.0,365.0,522.0,0.299,0.113,0.051,0.712,1.761,1.333,1.142,2.64,0.17,0.085,0.045,0.27,0.609,0.234,0.103,0.06
47,DE,142,408,0,0,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,0,0.005,56.0,339.0,571.0,0.239,0.155,0.086,0.4,1.406,1.819,1.907,1.48,0.17,0.085,0.045,0.27,0.568,0.204,0.195,0.036
48,ID,119,415,0,0,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,1,0.01,56.0,325.0,542.0,0.237,0.168,0.071,0.793,1.396,1.977,1.574,2.933,0.17,0.085,0.045,0.27,0.483,0.351,0.115,0.042
49,WY,97,415,0,1,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,0,0.003,47.0,275.0,432.0,0.168,0.318,0.04,0.99,0.987,3.745,0.894,3.667,0.17,0.085,0.045,0.27,0.482,0.393,0.068,0.063
50,IA,52,408,0,0,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0,0.018,68.0,296.0,706.0,0.302,0.239,0.123,0.422,1.777,2.81,2.722,1.56,0.17,0.085,0.045,0.271,0.48,0.337,0.157,0.031
51,IN,60,408,0,0,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0,0.038,68.0,304.0,688.0,0.658,0.156,0.087,0.613,3.87,1.836,1.93,2.267,0.17,0.085,0.045,0.271,0.551,0.264,0.165,0.027
52,VA,10,408,0,0,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,0,0.048,64.0,241.0,670.0,0.282,0.245,0.223,0.513,1.662,2.882,4.961,1.9,0.17,0.085,0.045,0.27,0.494,0.253,0.199,0.048
53,UT,96,415,0,0,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0,0.018,63.0,257.0,666.0,0.233,0.339,0.151,0.502,1.369,3.993,3.36,1.86,0.17,0.085,0.045,0.27,0.432,0.361,0.163,0.04
54,WY,87,415,0,0,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,0.003,56.0,329.0,584.0,0.309,0.161,0.072,0.873,1.819,1.894,1.606,3.233,0.17,0.085,0.045,0.27,0.458,0.333,0.164,0.047
55,IN,81,408,0,0,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0,0.038,66.0,253.0,705.0,0.445,0.249,0.124,0.917,2.619,2.933,2.757,3.4,0.17,0.085,0.045,0.27,0.452,0.321,0.184,0.042
56,CO,141,415,0,0,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,0,0.032,45.0,290.0,456.0,0.22,0.247,0.05,1.08,1.295,2.903,1.1,4.0,0.17,0.085,0.045,0.27,0.479,0.34,0.141,0.048
57,CO,121,408,0,1,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1,0.032,50.0,286.0,461.0,0.261,0.083,0.106,0.523,1.538,0.978,2.353,1.933,0.17,0.085,0.045,0.271,0.675,0.128,0.163,0.031
58,WI,68,415,0,0,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,0,0.033,55.0,340.0,537.0,0.361,0.128,0.057,1.09,2.126,1.503,1.26,4.033,0.17,0.085,0.045,0.27,0.46,0.381,0.106,0.059
59,OK,125,408,0,0,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,0,0.022,66.0,332.0,608.0,0.378,0.12,0.09,0.405,2.226,1.408,1.993,1.5,0.17,0.085,0.045,0.27,0.591,0.228,0.129,0.049
60,ID,174,408,0,0,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0,0.01,58.0,249.0,540.0,0.337,0.154,0.139,0.77,1.98,1.807,3.085,2.85,0.17,0.085,0.045,0.27,0.563,0.249,0.129,0.053
61,CA,116,415,0,1,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0,0.222,71.0,334.0,625.0,0.55,0.107,0.071,1.043,3.236,1.255,1.569,3.867,0.17,0.085,0.045,0.27,0.643,0.213,0.105,0.044
62,MN,74,510,0,1,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,0,0.032,64.0,282.0,592.0,0.362,0.218,0.067,1.313,2.129,2.564,1.5,4.867,0.17,0.085,0.045,0.27,0.515,0.327,0.097,0.062
63,SD,149,408,0,1,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0,0.005,62.0,212.0,647.0,0.334,0.249,0.225,1.133,1.964,2.934,5.009,4.2,0.17,0.085,0.045,0.27,0.495,0.257,0.193,0.055
64,NC,38,408,0,0,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,0,0.059,46.0,307.0,461.0,0.228,0.143,0.067,0.368,1.339,1.679,1.5,1.367,0.17,0.085,0.045,0.27,0.485,0.301,0.155,0.048
65,WA,40,415,0,1,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,0,0.043,51.0,269.0,538.0,0.34,0.164,0.094,0.334,2.001,1.926,2.099,1.24,0.17,0.085,0.045,0.269,0.494,0.283,0.189,0.033
66,WY,43,415,1,0,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0,0.003,70.0,280.0,631.0,0.407,0.174,0.106,0.627,2.395,2.046,2.355,2.325,0.17,0.085,0.045,0.27,0.611,0.258,0.101,0.036
67,MN,113,408,1,0,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,0,0.032,47.0,359.0,469.0,0.229,0.147,0.042,0.28,1.346,1.734,0.93,1.037,0.17,0.085,0.045,0.27,0.453,0.373,0.124,0.048
68,UT,126,408,0,0,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0,0.018,63.0,211.0,590.0,0.514,0.23,0.115,2.11,3.023,2.711,2.558,7.8,0.17,0.085,0.045,0.271,0.571,0.293,0.11,0.033
69,TX,150,510,0,0,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1,0.163,55.0,314.0,510.0,0.301,0.131,0.067,1.243,1.771,1.537,1.486,4.6,0.17,0.085,0.045,0.27,0.553,0.261,0.122,0.068
70,NJ,138,408,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0,0.05,72.0,287.0,719.0,0.442,0.175,0.128,0.456,2.6,2.054,2.839,1.686,0.17,0.085,0.045,0.27,0.571,0.201,0.185,0.044
71,MN,162,510,0,1,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,0,0.032,69.0,244.0,680.0,0.394,0.19,0.188,1.635,2.319,2.24,4.174,6.05,0.17,0.085,0.045,0.27,0.554,0.232,0.166,0.047
72,NM,147,510,0,0,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,0,0.012,65.0,281.0,578.0,0.509,0.149,0.071,0.54,2.995,1.752,1.583,2.0,0.17,0.085,0.045,0.27,0.65,0.195,0.119,0.033
73,NV,90,415,0,0,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,0,0.017,63.0,372.0,590.0,0.237,0.165,0.065,0.492,1.393,1.938,1.451,1.825,0.17,0.085,0.045,0.27,0.549,0.306,0.109,0.031
74,HI,85,415,0,0,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,0,0.008,65.0,305.0,593.0,0.368,0.142,0.086,1.08,2.163,1.672,1.901,4.0,0.17,0.085,0.045,0.27,0.617,0.206,0.13,0.05
75,MN,50,415,0,0,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0,0.032,55.0,275.0,568.0,0.297,0.264,0.074,0.825,1.746,3.101,1.634,3.05,0.17,0.085,0.045,0.27,0.486,0.345,0.148,0.03
76,DC,82,415,0,0,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1,0.004,82.0,286.0,763.0,0.468,0.154,0.166,0.79,2.755,1.81,3.7,2.925,0.17,0.085,0.045,0.27,0.623,0.188,0.148,0.039
77,NY,144,408,0,0,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,1,0.109,27.0,308.0,320.0,0.089,0.077,0.079,0.316,0.526,0.907,1.747,1.171,0.17,0.085,0.045,0.27,0.388,0.243,0.289,0.082
78,MN,46,415,0,0,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,0,0.032,61.0,292.0,564.0,0.506,0.134,0.071,0.737,2.974,1.581,1.571,2.733,0.17,0.085,0.045,0.27,0.597,0.229,0.131,0.036
79,MD,70,408,0,0,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,0,0.034,56.0,278.0,569.0,0.295,0.129,0.135,2.025,1.737,1.522,3.008,7.5,0.17,0.085,0.045,0.27,0.517,0.236,0.184,0.072
80,WV,144,415,0,0,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,0,0.01,74.0,294.0,742.0,0.345,0.349,0.085,1.78,2.031,4.101,1.882,6.6,0.17,0.085,0.045,0.27,0.462,0.349,0.136,0.048
81,OR,116,415,1,0,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0,0.024,70.0,297.0,711.0,0.352,0.22,0.115,0.68,2.071,2.592,2.555,2.52,0.17,0.085,0.045,0.27,0.523,0.249,0.179,0.049
82,CO,55,408,0,1,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,0,0.032,51.0,310.0,488.0,0.229,0.122,0.088,1.485,1.346,1.433,1.952,5.5,0.17,0.085,0.045,0.27,0.552,0.227,0.155,0.058
83,GA,70,415,0,1,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,0,0.06,77.0,271.0,742.0,0.42,0.225,0.147,0.662,2.47,2.65,3.275,2.45,0.17,0.085,0.045,0.27,0.551,0.287,0.13,0.034
84,TX,106,510,0,0,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,1,0.163,69.0,270.0,664.0,0.373,0.249,0.098,3.35,2.194,2.932,2.175,12.4,0.17,0.085,0.045,0.27,0.519,0.307,0.125,0.049
85,VT,128,510,0,1,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,0,0.004,67.0,275.0,737.0,0.293,0.223,0.186,0.331,1.724,2.627,4.141,1.229,0.17,0.085,0.045,0.27,0.455,0.287,0.217,0.035
86,IN,94,408,0,0,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,1,0.038,51.0,295.0,510.0,0.256,0.13,0.102,0.432,1.504,1.535,2.257,1.6,0.17,0.085,0.045,0.27,0.526,0.258,0.167,0.042
87,WV,111,510,0,0,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,0,0.01,66.0,294.0,617.0,0.309,0.233,0.084,1.62,1.816,2.743,1.861,6.0,0.17,0.085,0.045,0.27,0.552,0.268,0.124,0.049
88,KY,74,415,0,1,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0,0.025,49.0,254.0,490.0,0.252,0.125,0.159,0.327,1.482,1.469,3.546,1.211,0.17,0.085,0.045,0.27,0.535,0.214,0.186,0.06
89,NJ,128,415,0,0,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,1,0.05,75.0,290.0,708.0,0.324,0.226,0.138,0.937,1.903,2.662,3.072,3.475,0.17,0.085,0.045,0.27,0.539,0.281,0.125,0.05
90,DC,82,510,0,0,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,0,0.004,49.0,262.0,460.0,0.401,0.158,0.052,1.5,2.359,1.856,1.166,5.55,0.17,0.085,0.045,0.27,0.499,0.338,0.101,0.061
91,LA,155,415,0,0,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,1,0.026,62.0,327.0,599.0,0.346,0.156,0.074,0.6,2.034,1.836,1.647,2.225,0.17,0.085,0.045,0.27,0.558,0.262,0.142,0.039
92,AR,80,415,0,0,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0,0.017,49.0,278.0,558.0,0.211,0.137,0.184,0.237,1.243,1.617,4.084,0.878,0.17,0.085,0.045,0.27,0.431,0.3,0.232,0.043
93,ME,78,415,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0,0.008,73.0,317.0,705.0,0.462,0.135,0.113,0.367,2.719,1.593,2.513,1.357,0.17,0.085,0.045,0.271,0.589,0.208,0.163,0.035
94,AZ,90,415,0,0,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,0,0.041,55.0,250.0,508.0,0.429,0.2,0.063,0.409,2.523,2.353,1.403,1.514,0.17,0.085,0.045,0.27,0.554,0.295,0.105,0.052
95,AK,104,408,0,0,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,0,0.004,64.0,361.0,532.0,0.447,0.061,0.054,0.53,2.626,0.717,1.191,1.96,0.17,0.085,0.045,0.27,0.74,0.108,0.115,0.041
